session_id,condition_id,participant_id,seq,original_type,t_q_send_ref_ms,t_b_recv_ms,t_b_pub_ms,t_r_recv_ms
S01,C1,P01,269,cmd,1776951589877.031,1776951589882.267,1776951589883.315,1776951589884.551
S01,C1,P01,271,cmd,1776951589932.006,1776951589938.619,1776951589939.74,1776951589944.518
S01,C1,P01,272,cmd,1776951589992.041,1776951589998.496,1776951590000.238,1776951590002.239
S01,C1,P01,273,cmd,1776951590047.028,1776951590055.41,1776951590056.526,1776951590061.381
S01,C1,P01,274,cmd,1776951590103.058,1776951590104.898,1776951590106.832,1776951590108.517
S01,C1,P01,275,cmd,1776951590158.018,1776951590162.548,1776951590163.59,1776951590166.078
S01,C1,P01,276,cmd,1776951590214.031,1776951590219.948,1776951590221.064,1776951590222.092
S01,C1,P01,277,cmd,1776951590269.056,1776951590273.676,1776951590274.779,1776951590277.028
S01,C1,P01,278,cmd,1776951590324.98,1776951590330.808,1776951590332.193,1776951590334.897
S01,C1,P01,279,cmd,1776951590380.94,1776951590385.065,1776951590385.988,1776951590388.186
S01,C1,P01,280,cmd,1776951590436.065,1776951590439.224,1776951590441.353,1776951590441.594
S01,C1,P01,281,cmd,1776951590492.068,1776951590494.738,1776951590495.618,1776951590495.688
S01,C1,P01,282,cmd,1776951590547.078,1776951590562.578,1776951590563.722,1776951590571.38
S01,C1,P01,283,cmd,1776951590603.016,1776951590611.322,1776951590612.273,1776951590617.127
S01,C1,P01,284,cmd,1776951590659.02,1776951590661.04,1776951590662.492,1776951590662.64
S01,C1,P01,285,cmd,1776951590714.053,1776951590723.944,1776951590725.129,1776951590731.162
S01,C1,P01,286,cmd,1776951590769.06,1776951590771.572,1776951590772.286,1776951590772.68
S01,C1,P01,287,cmd,1776951590825.017,1776951590826.858,1776951590828.468,1776951590828.638
S01,C1,P01,288,cmd,1776951590880.925,1776951590885.192,1776951590886.231,1776951590886.323
S01,C1,P01,289,cmd,1776951590935.946,1776951590938.279,1776951590939.455,1776951590939.566
S01,C1,P01,290,cmd,1776951590991.991,1776951590996.777,1776951590997.708,1776951591000.661
S01,C1,P01,291,cmd,1776951591047.038,1776951591048.878,1776951591050.286,1776951591050.658
S01,C1,P01,292,cmd,1776951591103.934,1776951591107.969,1776951591109.402,1776951591110.353
S01,C1,P01,293,cmd,1776951591158.078,1776951591162.766,1776951591163.948,1776951591164.059
S01,C1,P01,294,cmd,1776951591214.005,1776951591218.766,1776951591219.553,1776951591222.71
S01,C1,P01,295,cmd,1776951591269.026,1776951591273.013,1776951591273.873,1776951591274.356
S01,C1,P01,296,cmd,1776951591325.065,1776951591334.016,1776951591335.408,1776951591339.231
S01,C1,P01,297,cmd,1776951591381.968,1776951591384.494,1776951591385.516,1776951591386.188
S01,C1,P01,298,cmd,1776951591436.032,1776951591442.643,1776951591443.584,1776951591445.626
S01,C1,P01,299,cmd,1776951591491.934,1776951591494.544,1776951591495.477,1776951591495.554
S01,C1,P01,300,cmd,1776951591546.948,1776951591557.771,1776951591558.513,1776951591564.976
S01,C1,P01,301,cmd,1776951591602.982,1776951591615.886,1776951591616.653,1776951591623.795
S01,C1,P01,302,cmd,1776951591658.071,1776951591663.859,1776951591665.191,1776951591667.349
